xDLNMID,xtEIND,xtConditi,nQ1,iQ2,nQ3,nQ4,iQ5,nQ6,nQ7,nQ8,nQ9,nQ10,mQ11_1,mQ11_2,mQ11_3,mQ11_4,mQ11_5,mQ11_6,mQ11_7,mQ11_8,mQ11_9,mQ11_10,mQ11_11,mQ11_12,mQ11_13,mQ11_99999997,mQ12_1,mQ12_2,mQ12_3,mQ12_4,mQ12_5,mQ12_6,mQ12_7,mQ12_8,mQ12_9,mQ12_10,mQ12_11,mQ12_12,mQ12_13,mQ12_14,mQ12_99999997,mQ13_1,mQ13_2,mQ13_3,mQ13_4,mQ13_5,mQ13_6,mQ13_7,mQ13_8,mQ13_9,mQ13_10,mQ13_11,mQ13_12,mQ13_13,mQ13_14,mQ13_15,mQ13_16,mQ13_99999997,iQ14,nQ15,nQ16,iQ17,iQ18_1,iQ18_2,iQ18_3,iQ18_4,iQ18_5,iQ18_6,iQ18_7,iQ18_8,iQ18_9,iQ18_10,iQ18_11,iQ18_12,iQ18_13,iQ18_14,iQ18_15,iQ18_16,iQ18_17,iQ18_18,iQ18_19,iQ18_20,iQ18_21,iQ18_22,iQ18_23,nQ19,iQ20,iQ21,nQ22,iQ23,nQ24,xAge,nAgeCat,nGender,xHighLevEdu,nEduLev,xIncome,nIncCat,nProv,nRegion,nShoopResp,wwighfact,nGen,nAg,nEdu,nReg
288154934,11/25/2019 14:21:20,Qualified,Did not vote,Likely,0 cars,No,No people,Myself,5.000-9.999,Less than 10 km,1 time biannually,Public road,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Neutral,No,"If I had an EV, it would be my only car",Good,Neutral,Mostly disagree,I don't know,Neutral,Mostly disagree,Mostly agree,Mostly agree,Mostly agree,Mostly disagree,Neutral,Mostly agree,Totally agree,Mostly agree,Totally disagree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Neutral,Totally agree,Mostly agree,Totally agree,Totally agree,"Newsarticles (newspapers, tv and websites)",More negative,Did not change,1 person,No people,€20.000 - €34.999,34,25 - 34,Man,Havo/VWO,Middle,Prefer not to say,Unknown,Zuid-Holland,Suburbs,Others,1.27854987535775,Man,30 - 39,Middle,Suburbs
288154936,11/24/2019 13:11:01,Qualified,SP,Likely,2 cars,No,4 people or more,Myself,10.000-19.999,40-49 km,1 time per month,Own driveway/carport/garage,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Totally disagree,No,"If I had an EV, it would be a supplement to a petrol or diesel car",Bad,Totally disagree,Mostly disagree,Mostly disagree,Mostly agree,I don't know,I don't know,I don't know,Mostly agree,Totally disagree,I don't know,I don't know,I don't know,Mostly agree,Neutral,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Newsarticles (newspapers, tv and websites)",Did not change,Did not change,2 people,2 people,€65.000 - €79.999,40,35 - 44,Man,"MBO-2,-3,-4/MBO vbefore 1998",Middle,Between 1 and 2 times average,Above average,Noord-Brabant,South,My partner,.765176278524147,Man,40 - 49,Middle,South
288154939,11/23/2019 21:03:28,Qualified,Did not vote,Likely,1 car,No,No people,Equally shared in decision makings,20.000-29.999,10-19 km,1 time per month,Own driveway/carport/garage,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mostly agree,No,"If I had an EV, it would be a supplement to a petrol or diesel car",Good,Neutral,Mostly disagree,Mostly agree,Mostly agree,Neutral,Mostly agree,Neutral,Mostly disagree,Mostly disagree,I don't know,Mostly agree,Neutral,Mostly agree,Neutral,Neutral,Mostly agree,Neutral,Mostly agree,I don't know,Mostly agree,Mostly disagree,Mostly agree,Mostly agree,"Organisations like ADAC (DE), FDM (DK), Magyar Autoklub (HU), ANWB (NL), NAF or Norsk Elbilforening (NO)",Did not change,Did not change,2 people,2 people,I'd rather not say,45,35 - 44,Man,VMBO (theoretical/mixed)/Mavo,Middle,Prefer not to say,Unknown,Noord-Brabant,South,Both in equal measure,1.59780214992043,Man,40 - 49,Middle,South
288154944,11/22/2019 14:08:34,Qualified,PVV,Neither/nor,2 cars,No,No people,Myself,5.000-9.999,20-29 km,1 time biannually,Public road,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Totally disagree,No,I would never buy an EV,Very bad,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,"Social media (e.g. Twitter, Facebook, Instagram etc.)",Did not change,Did not change,2 people,No people,€110.000 or more,63,55 - 70,Man,VMBO (professionally-oriented)/MBO-1,Low,Prefer not to say,Unknown,Noord-Brabant,South,Unknown,.574388292338246,Man,60 - 70,Low,South
288154946,11/23/2019 9:24:16,Qualified,SGP,Unlikely,1 car,No,3 people,Equally shared in decision makings,10.000-19.999,20-29 km,1 time per month,Parking in shared common area without individual parking space,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mostly agree,No,"If I had an EV, it would be my only car",Good,Mostly disagree,Mostly disagree,Mostly agree,Mostly agree,Neutral,Mostly agree,Mostly disagree,Mostly agree,Mostly disagree,Mostly disagree,Mostly agree,Mostly disagree,Mostly agree,Mostly disagree,Neutral,Mostly agree,Mostly disagree,Neutral,I don't know,Mostly agree,Neutral,Mostly agree,Mostly agree,Car dealer(s),More positive,More positive,2 people,1 person,I'd rather not say,29,18 - 24,Man,Bachelor HBO/WO,High,Prefer not to say,Unknown,Zuid-Holland,West,Both in equal measure,.987487396952952,Man,18 - 29,High,West
288154954,11/27/2019 22:25:04,Qualified,Did not vote,Likely,2 cars,No,No people,Other(s) in the household,Less than 1.000 km,Less than 10 km,Rare/never,Own driveway/carport/garage,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mostly agree,No,I don't know,Neutral,Totally disagree,Mostly disagree,Mostly disagree,Mostly disagree,Mostly disagree,Mostly agree,Mostly agree,Neutral,Mostly disagree,I don't know,Mostly agree,Totally agree,Neutral,Mostly agree,Mostly agree,Mostly disagree,Mostly agree,Neutral,Neutral,Mostly disagree,Mostly agree,Mostly agree,Mostly agree,Official governmental websites,Did not change,More positive,2 people,2 people,€35.000 - €49.999,18,18 - 24,Man,Havo/VWO,Middle,Gross income unknown,Unknown,Limburg,South,Others,1.96903663759561,Man,18 - 29,Middle,South
288154957,11/26/2019 15:29:54,Qualified,CDA,Likely,1 car,No,No people,Equally shared in decision makings,Less than 1.000 km,200 km or more,1 time biannually,Own driveway/carport/garage,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mostly agree,No,"If I had an EV, it would be my only car",Bad,Totally disagree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Mostly disagree,Mostly disagree,Totally agree,Neutral,Totally agree,Mostly agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,I don't know,Mostly agree,"Newsarticles (newspapers, tv and websites)",More negative,More positive,3 people or more,No people,€50.000 - €64.999,47,35 - 44,Woman,VMBO (professionally-oriented)/MBO-1,Low,Between 1 and 2 times average,Above average,Overijssel,East,Myself,2.77663680337934,Woman,40 - 49,Low,East
288154962,11/23/2019 10:17:39,Qualified,Don't know,Likely,1 car,No,No people,Other(s) in the household,20.000-29.999,30-39 km,Several times biannually,Own parking space in  shared common area,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mostly agree,No,"If I had an EV, it would be my only car",Good,Neutral,Mostly disagree,Mostly agree,Neutral,Mostly agree,Mostly agree,Neutral,Mostly disagree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Mostly disagree,Mostly agree,Mostly agree,Mostly agree,Totally agree,Mostly agree,Mostly agree,Totally agree,Neutral,Mostly agree,"Organisations like ADAC (DE), FDM (DK), Magyar Autoklub (HU), ANWB (NL), NAF or Norsk Elbilforening (NO)",Did not change,Did not change,2 people,No people,I'd rather not say,39,25 - 34,Man,Havo/VWO,Middle,Average,Average,Overijssel,East,Both in equal measure,.820758102969848,Man,30 - 39,Middle,East
288154969,11/25/2019 11:24:33,Qualified,Christian Union,I don't know,1 car,No,No people,Equally shared in decision makings,5.000-9.999,I don't know,1 time biannually,Other,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Neutral,No,I don't know,Neutral,I don't know,Totally agree,Totally agree,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Totally agree,I don't know,Totally agree,I don't know,I don't know,I don't know,I don't know,I don't know,Car dealer(s),Did not change,Did not change,2 people,2 people,I'd rather not say,29,18 - 24,Woman,"MBO-2,-3,-4/MBO vbefore 1998",Middle,Don't know,Unknown,Zuid-Holland,West,Myself,.593000938523593,Woman,18 - 29,Middle,West
288154976,11/26/2019 18:19:00,Qualified,CDA,I don't know,1 car,"Yes, plug-in hybrid car(s)",1 person,Other(s) in the household,30.000-39.999,30-39 km,1 time per month,Parking in shared common area without individual parking space,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,I don't know,I don't know,I don't know,I don't know,I don't know,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Car dealer(s),Did not change,Did not change,3 people or more,3 people,€80.000 - €94.999,37,25 - 34,Man,"MBO-2,-3,-4/MBO vbefore 1998",Middle,Prefer not to say,Unknown,Utrecht,West,Others,1.78469735276966,Man,30 - 39,Middle,West
288154981,11/26/2019 20:16:14,Qualified,VVD,Very likely,1 car,No,1 person,Myself,5.000-9.999,20-29 km,1 time per month,Public road,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral,Yes,"If I had an EV, it would be my only car",Very good,Mostly disagree,Totally disagree,Neutral,Mostly disagree,Mostly disagree,Neutral,Mostly agree,Mostly disagree,Mostly disagree,Mostly disagree,Neutral,Mostly disagree,Neutral,Mostly disagree,Neutral,Mostly agree,Neutral,Mostly agree,Neutral,Mostly agree,Neutral,Neutral,Mostly disagree,"Organisations like ADAC (DE), FDM (DK), Magyar Autoklub (HU), ANWB (NL), NAF or Norsk Elbilforening (NO)",Did not change,Did not change,1 person,No people,€35.000 - €49.999,34,25 - 34,Man,Bachelor HBO/WO,High,Almost average,Below average,Limburg,South,Myself,1.11397466998732,Man,30 - 39,High,South
288154983,11/28/2019 23:51:14,Qualified,PVV,Likely,1 car,No,No people,Equally shared in decision makings,10.000-19.999,10-19 km,1 time per month,Parking in shared common area without individual parking space,Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mostly disagree,No,"If I had an EV, it would be a supplement to a petrol or diesel car",Neutral,Mostly agree,Mostly disagree,Neutral,Neutral,Neutral,Neutral,Mostly agree,Mostly disagree,Mostly disagree,Mostly disagree,Mostly agree,Neutral,Neutral,Mostly disagree,Mostly agree,Neutral,Neutral,Mostly agree,Neutral,Mostly agree,Mostly agree,Mostly agree,Neutral,Car dealer(s),Did not change,More positive,2 people,No people,€20.000 - €34.999,32,25 - 34,Man,"MBO-2,-3,-4/MBO vbefore 1998",Middle,Prefer not to say,Unknown,Overijssel,East,Both in equal measure,.898832194641814,Man,30 - 39,Middle,East
288154997,11/23/2019 11:10:13,Qualified,VVD,Likely,1 car,No,I don't know,Myself,5.000-9.999,Less than 10 km,Several times biannually,Public road,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Totally agree,No,"If I had an EV, it would be my only car",Good,Totally disagree,Mostly disagree,I don't know,Mostly agree,I don't know,Mostly disagree,Mostly disagree,Mostly disagree,Totally disagree,Mostly disagree,Mostly agree,Mostly disagree,Mostly agree,Totally disagree,Totally disagree,Mostly disagree,I don't know,I don't know,I don't know,Totally agree,I don't know,Mostly agree,I don't know,"Organisations like ADAC (DE), FDM (DK), Magyar Autoklub (HU), ANWB (NL), NAF or Norsk Elbilforening (NO)",More negative,More positive,1 person,No people,€20.000 - €34.999,25,18 - 24,Man,"MBO-2,-3,-4/MBO vbefore 1998",Middle,Almost average,Below average,Noord-Holland,West,Myself,3.14772723861752,Man,18 - 29,Middle,West
288155005,11/25/2019 10:21:08,Qualified,CDA,Very likely,2 cars,No,No people,Myself,20.000-29.999,20-29 km,2-4 times per month,Own driveway/carport/garage,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Totally agree,Yes,"If I had an EV, it would be my only car",Very good,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Mostly agree,Mostly disagree,Totally disagree,Totally disagree,Neutral,Neutral,Mostly disagree,Totally disagree,Totally disagree,Mostly disagree,Totally disagree,Mostly agree,Mostly agree,Totally agree,Totally disagree,Totally disagree,Totally disagree,"Organisations like ADAC (DE), FDM (DK), Magyar Autoklub (HU), ANWB (NL), NAF or Norsk Elbilforening (NO)",Did not change,Much more positive,2 people,No people,€80.000 - €94.999,32,25 - 34,Man,Bachelor HBO/WO,High,2 times average,Above average,Overijssel,East,Both in equal measure,1.3160585442515,Man,30 - 39,High,East
288155008,11/23/2019 17:53:18,Qualified,PVV,Likely,2 cars,No,No people,Myself,5.000-9.999,20-29 km,1 time biannually,Public road,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral,No,I would never buy an EV,Good,Neutral,Mostly disagree,Neutral,Mostly disagree,Mostly agree,Mostly agree,Neutral,Mostly disagree,Mostly disagree,I don't know,Mostly disagree,Neutral,I don't know,I don't know,Neutral,Mostly agree,Mostly disagree,Mostly agree,Neutral,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Car dealer(s),Did not change,More negative,2 people,No people,€35.000 - €49.999,31,25 - 34,Woman,"MBO-2,-3,-4/MBO vbefore 1998",Middle,Average,Average,Zuid-Holland,3 large municipalities,Myself,1.19583119829318,Woman,30 - 39,Middle,3 large municipalities
288155011,11/24/2019 13:56:16,Qualified,SGP,Very likely,1 car,No,2 people,Myself,10.000-19.999,Less than 10 km,2-4 times per month,Public road,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mostly disagree,No,"If I had an EV, it would be my only car",Good,Mostly disagree,Mostly agree,Mostly agree,Mostly disagree,Mostly agree,Mostly agree,Mostly agree,Mostly disagree,Mostly disagree,Mostly disagree,Mostly agree,Mostly disagree,Mostly agree,Totally disagree,Mostly agree,Mostly disagree,Mostly disagree,Mostly disagree,Mostly agree,Totally agree,Mostly agree,Mostly agree,Mostly agree,Official governmental websites,More positive,More positive,2 people,5 people or more,€50.000 - €64.999,44,35 - 44,Man,Havo/VWO,Middle,Between 1 and 2 times average,Above average,Zuid-Holland,3 large municipalities,Both in equal measure,.681199143081111,Man,40 - 49,Middle,3 large municipalities
288155016,11/27/2019 6:58:19,Qualified,Green Left,Very likely,1 car,No,No people,Equally shared in decision makings,5.000-9.999,Less than 10 km,Several times biannually,Own parking space in  shared common area,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mostly agree,No,"If I had an EV, it would be my only car",Good,Mostly disagree,Mostly disagree,Neutral,Totally disagree,Mostly disagree,Mostly agree,Mostly disagree,Mostly disagree,Totally disagree,Totally disagree,Mostly agree,Totally agree,Mostly disagree,Totally disagree,Mostly disagree,Neutral,Mostly disagree,Mostly agree,Mostly disagree,Totally agree,Neutral,Mostly agree,Mostly agree,Official governmental websites,Did not change,Did not change,2 people,No people,€65.000 - €79.999,63,55 - 70,Man,VMBO (professionally-oriented)/MBO-1,Low,Between 1 and 2 times average,Above average,Zuid-Holland,3 large municipalities,My partner,.552981442595914,Man,60 - 70,Low,3 large municipalities
